timestamps population node_ids
175.9000000001057 internal 1
504.0000000001803 internal 0
506.0000000001808 internal 1
1353.299999999417 internal 1
2820.700000001596 internal 1
3002.900000002259 internal 0
3004.900000002266 internal 1
3143.1000000027693 internal 0
3145.1000000027757 internal 1
4283.400000006917 internal 1
4508.200000007735 internal 0
4510.200000007741 internal 1
5506.7000000113685 internal 1
6002.400000013171 internal 0
6004.400000013177 internal 1
6456.300000014822 internal 1
6809.800000016108 internal 0
6811.8000000161155 internal 1
6852.100000016262 internal 0
6854.100000016269 internal 1
6890.500000016403 internal 1
6921.100000016512 internal 0
6923.1000000165195 internal 1
6968.400000016684 internal 0
6970.400000016693 internal 1
7506.300000018643 internal 1
8002.700000020448 internal 0
8004.700000020455 internal 1
8052.500000020628 internal 0
8054.500000020636 internal 1
8125.700000020894 internal 1
8136.700000020934 internal 1
8159.500000021018 internal 1
8197.700000021054 internal 0
8199.700000021025 internal 1
8220.900000020716 internal 0
8222.800000020688 internal 1
9393.300000003655 internal 1
9462.100000002654 internal 1
9504.40000000204 internal 0
9506.40000000201 internal 1
9508.50000000198 internal 0
9577.80000000097 internal 1
9690.399999999332 internal 0
9692.499999999302 internal 1
9707.199999999088 internal 1
