gid spike-times
0 56.0,126.0,187.0,247.0,319.0,389.0,443.0,508.0,580.0,657.0,710.0,782.0,854.0,910.0,969.0,1052.0,1127.0,1199.0,1272.0,1329.0,1406.0,1475.0,1539.0,1591.0,1660.0,1719.0,1787.0,1848.0,1916.0,1986.0,2051.0,2122.0,2195.0,2259.0,2327.0,2381.0,2453.0,2518.0,2598.0,2679.0,2757.0,2820.0,2882.0,2956.0,3038.0,3106.0,3172.0,3230.0,3295.0,3363.0,3431.0,3500.0,3568.0,3633.0,3694.0,3764.0,3839.0,3912.0,3981.0,4039.0,4105.0,4189.0,4273.0,4343.0,4404.0,4472.0,4529.0,4600.0,4667.0,4739.0,4799.0,4876.0,4953.0,5035.0,5110.0,5174.0,5240.0,5321.0,5371.0,5434.0,5495.0,5559.0,5623.0,5682.0,5743.0,5814.0,5888.0,5934.0,6002.0,6077.0,7110.652,8040.652,8170.732,8238.732,8298.732,8355.732,8421.732,8477.732,8538.732,8590.732,8648.732,8727.732,8797.732,8876.732,8946.732,9023.732,9094.732,9147.732,9224.732,9302.732,9371.732,9440.732,9514.732,9579.732,9649.732,9720.732,9783.732,9843.732,9907.732,9976.732
1 62.0,124.0,203.0,266.0,329.0,391.0,447.0,519.0,585.0,668.0,752.0,810.0,886.0,953.0,1031.0,1099.0,1174.0,1229.0,1301.0,1357.0,1423.0,1492.0,1565.0,1621.0,1712.0,1764.0,1833.0,1896.0,1970.0,2047.0,2109.0,2169.0,2240.0,2306.0,2380.0,2455.0,2523.0,2591.0,2663.0,2723.0,2804.0,2873.0,2944.0,3015.0,3080.0,3146.0,3215.0,3294.0,3355.0,3421.0,3471.0,3547.0,3617.0,3684.0,3757.0,3809.0,3880.0,3943.0,4031.0,4104.0,4167.0,4224.0,4287.0,4362.0,4433.0,4517.0,4577.0,4646.0,4707.0,4764.0,4839.0,4908.0,4979.0,5028.0,5095.0,5166.0,5238.0,5294.0,5354.0,5417.0,5472.0,5531.0,5597.0,5662.0,5726.0,5802.0,5856.0,5928.0,5994.0,6069.0,7094.652,8070.652,8166.732,8232.732,8294.732,8359.732,8425.732,8495.732,8554.732,8619.732,8683.732,8738.732,8803.732,8876.732,8943.732,9009.732,9067.732,9139.732,9207.732,9274.732,9328.732,9396.732,9463.732,9527.732,9595.732,9655.732,9724.732,9787.732,9847.732,9924.732
2 68.0,133.0,203.0,270.0,332.0,393.0,452.0,521.0,574.0,644.0,714.0,777.0,857.0,923.0,982.0,1044.0,1112.0,1184.0,1241.0,1320.0,1379.0,1446.0,1516.0,1580.0,1661.0,1740.0,1806.0,1861.0,1937.0,2004.0,2058.0,2136.0,2198.0,2255.0,2318.0,2380.0,2441.0,2513.0,2573.0,2645.0,2710.0,2781.0,2852.0,2909.0,2978.0,3041.0,3109.0,3171.0,3227.0,3282.0,3357.0,3441.0,3515.0,3602.0,3666.0,3732.0,3806.0,3875.0,3937.0,4011.0,4065.0,4133.0,4199.0,4271.0,4337.0,4407.0,4476.0,4552.0,4615.0,4689.0,4752.0,4807.0,4866.0,4937.0,5017.0,5079.0,5144.0,5223.0,5301.0,5365.0,5425.0,5493.0,5575.0,5628.0,5687.0,5756.0,5815.0,5879.0,5950.0,6000.0,6058.0,7066.652,8058.652,8176.732,8233.732,8301.732,8382.732,8451.732,8509.732,8582.732,8641.732,8707.732,8773.732,8840.732,8905.732,8957.732,9019.732,9085.732,9158.732,9211.732,9272.732,9345.732,9411.732,9483.732,9540.732,9606.732,9673.732,9737.732,9810.732,9869.732,9936.732
3 66.0,133.0,201.0,258.0,317.0,392.0,460.0,532.0,599.0,671.0,748.0,811.0,876.0,933.0,1000.0,1075.0,1140.0,1203.0,1257.0,1334.0,1402.0,1474.0,1542.0,1605.0,1684.0,1752.0,1822.0,1897.0,1948.0,2005.0,2067.0,2144.0,2210.0,2283.0,2367.0,2439.0,2513.0,2575.0,2647.0,2725.0,2802.0,2863.0,2926.0,3004.0,3064.0,3123.0,3183.0,3246.0,3312.0,3383.0,3458.0,3523.0,3580.0,3650.0,3717.0,3789.0,3866.0,3930.0,3999.0,4068.0,4140.0,4214.0,4291.0,4358.0,4400.0,4471.0,4534.0,4607.0,4675.0,4755.0,4806.0,4865.0,4923.0,4977.0,5045.0,5121.0,5193.0,5255.0,5327.0,5403.0,5485.0,5548.0,5618.0,5701.0,5774.0,5854.0,5925.0,5983.0,6042.0,7142.652,8183.732,8252.732,8316.732,8381.732,8446.732,8504.732,8584.732,8653.732,8720.732,8776.732,8841.732,8912.732,8976.732,9044.732,9096.732,9151.732,9214.732,9272.732,9323.732,9396.732,9466.732,9535.732,9599.732,9685.732,9753.732,9814.732,9873.732,9931.732,9996.732
4 54.0,125.0,190.0,250.0,319.0,384.0,447.0,500.0,582.0,634.0,697.0,759.0,824.0,885.0,932.0,1001.0,1075.0,1154.0,1219.0,1297.0,1377.0,1433.0,1497.0,1565.0,1636.0,1704.0,1775.0,1853.0,1903.0,1971.0,2029.0,2099.0,2158.0,2218.0,2287.0,2361.0,2432.0,2486.0,2543.0,2602.0,2675.0,2742.0,2806.0,2869.0,2950.0,3018.0,3083.0,3150.0,3227.0,3291.0,3355.0,3434.0,3516.0,3583.0,3649.0,3733.0,3792.0,3861.0,3940.0,4011.0,4079.0,4142.0,4212.0,4290.0,4359.0,4413.0,4470.0,4542.0,4614.0,4682.0,4745.0,4819.0,4879.0,4940.0,5004.0,5076.0,5147.0,5216.0,5271.0,5318.0,5374.0,5450.0,5509.0,5575.0,5638.0,5711.0,5778.0,5846.0,5910.0,5985.0,6060.0,7087.652,8173.732,8235.732,8301.732,8365.732,8428.732,8494.732,8575.732,8647.732,8714.732,8773.732,8843.732,8911.732,8988.732,9057.732,9132.732,9212.732,9277.732,9360.732,9424.732,9489.732,9540.732,9620.732,9685.732,9748.732,9816.732,9882.732,9943.732,9999.732
5 57.0,123.0,192.0,256.0,327.0,392.0,459.0,527.0,600.0,655.0,719.0,802.0,864.0,925.0,999.0,1063.0,1148.0,1218.0,1285.0,1344.0,1398.0,1464.0,1531.0,1588.0,1660.0,1737.0,1820.0,1886.0,1941.0,2024.0,2091.0,2170.0,2218.0,2288.0,2352.0,2412.0,2481.0,2529.0,2592.0,2652.0,2714.0,2776.0,2840.0,2909.0,2974.0,3058.0,3144.0,3220.0,3285.0,3338.0,3395.0,3448.0,3519.0,3573.0,3652.0,3722.0,3799.0,3861.0,3927.0,3994.0,4067.0,4142.0,4199.0,4283.0,4354.0,4409.0,4478.0,4540.0,4604.0,4658.0,4724.0,4800.0,4863.0,4930.0,4999.0,5071.0,5143.0,5205.0,5279.0,5342.0,5407.0,5464.0,5536.0,5611.0,5673.0,5735.0,5811.0,5872.0,5930.0,5984.0,6047.0,7094.652,8084.652,8189.732,8253.732,8323.732,8397.732,8474.732,8530.732,8594.732,8655.732,8737.732,8806.732,8872.732,8948.732,9014.732,9067.732,9143.732,9220.732,9289.732,9349.732,9413.732,9469.732,9528.732,9601.732,9669.732,9734.732,9795.732,9854.732,9905.732,9970.732
6 79.0,137.0,199.0,275.0,350.0,414.0,467.0,529.0,592.0,657.0,729.0,814.0,876.0,945.0,1011.0,1081.0,1164.0,1228.0,1295.0,1354.0,1422.0,1493.0,1571.0,1634.0,1696.0,1761.0,1830.0,1907.0,1972.0,2030.0,2108.0,2173.0,2230.0,2302.0,2378.0,2448.0,2510.0,2581.0,2645.0,2710.0,2788.0,2852.0,2911.0,2978.0,3048.0,3106.0,3176.0,3235.0,3315.0,3381.0,3437.0,3491.0,3565.0,3630.0,3686.0,3747.0,3812.0,3896.0,3960.0,4031.0,4101.0,4169.0,4234.0,4313.0,4380.0,4448.0,4498.0,4556.0,4617.0,4695.0,4760.0,4847.0,4914.0,4992.0,5049.0,5118.0,5195.0,5268.0,5326.0,5387.0,5451.0,5520.0,5599.0,5665.0,5729.0,5795.0,5877.0,5950.0,6017.0,6076.0,7124.652,8176.732,8250.732,8307.732,8372.732,8446.732,8513.732,8601.732,8676.732,8752.732,8819.732,8886.732,8936.732,9008.732,9064.732,9136.732,9197.732,9279.732,9340.732,9394.732,9458.732,9523.732,9607.732,9671.732,9733.732,9798.732,9853.732,9925.732,9996.732
7 79.0,144.0,202.0,278.0,341.0,410.0,483.0,550.0,618.0,678.0,732.0,822.0,890.0,954.0,1032.0,1103.0,1161.0,1228.0,1292.0,1362.0,1437.0,1491.0,1547.0,1618.0,1696.0,1764.0,1820.0,1895.0,1966.0,2037.0,2108.0,2169.0,2250.0,2335.0,2399.0,2462.0,2530.0,2593.0,2661.0,2722.0,2813.0,2885.0,2963.0,3023.0,3087.0,3172.0,3231.0,3311.0,3372.0,3429.0,3501.0,3563.0,3647.0,3712.0,3779.0,3846.0,3920.0,3992.0,4052.0,4113.0,4178.0,4232.0,4292.0,4358.0,4417.0,4489.0,4561.0,4644.0,4703.0,4789.0,4855.0,4926.0,5006.0,5063.0,5141.0,5202.0,5272.0,5337.0,5404.0,5466.0,5528.0,5613.0,5676.0,5736.0,5800.0,5879.0,5953.0,6010.0,6079.0,7063.652,8060.652,8179.732,8245.732,8304.732,8366.732,8438.732,8506.732,8567.732,8640.732,8703.732,8767.732,8833.732,8916.732,8986.732,9054.732,9127.732,9210.732,9258.732,9323.732,9391.732,9467.732,9552.732,9622.732,9688.732,9753.732,9828.732,9902.732,9974.732
8 62.0,139.0,216.0,272.0,330.0,389.0,473.0,541.0,610.0,678.0,732.0,798.0,864.0,949.0,1015.0,1085.0,1134.0,1190.0,1262.0,1337.0,1415.0,1484.0,1561.0,1614.0,1685.0,1756.0,1820.0,1883.0,1953.0,2028.0,2102.0,2172.0,2232.0,2296.0,2362.0,2417.0,2471.0,2551.0,2621.0,2681.0,2723.0,2786.0,2851.0,2924.0,2999.0,3062.0,3123.0,3198.0,3259.0,3326.0,3393.0,3465.0,3524.0,3579.0,3659.0,3729.0,3797.0,3861.0,3919.0,3989.0,4050.0,4127.0,4189.0,4252.0,4315.0,4389.0,4460.0,4522.0,4572.0,4645.0,4704.0,4771.0,4835.0,4901.0,4968.0,5029.0,5090.0,5158.0,5235.0,5311.0,5366.0,5433.0,5489.0,5555.0,5608.0,5667.0,5735.0,5816.0,5887.0,5971.0,6040.0,7018.652,7984.652,8170.732,8232.732,8282.732,8354.732,8426.732,8492.732,8553.732,8628.732,8691.732,8752.732,8813.732,8884.732,8946.732,9022.732,9101.732,9162.732,9230.732,9276.732,9328.732,9389.732,9456.732,9528.732,9594.732,9669.732,9738.732,9808.732,9870.732,9940.732
9 59.0,122.0,204.0,279.0,373.0,441.0,501.0,577.0,637.0,704.0,761.0,819.0,881.0,951.0,1016.0,1077.0,1146.0,1221.0,1274.0,1338.0,1403.0,1474.0,1542.0,1612.0,1671.0,1731.0,1812.0,1877.0,1945.0,2013.0,2081.0,2144.0,2207.0,2265.0,2337.0,2391.0,2446.0,2508.0,2570.0,2650.0,2706.0,2772.0,2840.0,2904.0,2961.0,3034.0,3098.0,3183.0,3254.0,3316.0,3396.0,3452.0,3520.0,3588.0,3659.0,3723.0,3782.0,3847.0,3922.0,3986.0,4051.0,4117.0,4186.0,4258.0,4325.0,4390.0,4446.0,4508.0,4573.0,4635.0,4704.0,4776.0,4857.0,4918.0,4979.0,5038.0,5117.0,5193.0,5262.0,5327.0,5387.0,5440.0,5511.0,5574.0,5631.0,5708.0,5769.0,5831.0,5896.0,5951.0,6012.0,6072.0,7083.652,8088.652,8167.732,8229.732,8306.732,8373.732,8440.732,8504.732,8564.732,8629.732,8702.732,8765.732,8841.732,8907.732,8970.732,9022.732,9096.732,9158.732,9222.732,9279.732,9332.732,9395.732,9446.732,9503.732,9569.732,9640.732,9698.732,9770.732,9832.732,9890.732,9950.732
