node_type_id pop_name morphology model_template model_type level
100 Bladaff blank.swc hoc:PUD biophysical high
101 EUSaff blank.swc hoc:PUD biophysical high
102 PAGaff blank.swc hoc:PUD biophysical NULL
103 IND blank.swc hoc:IND biophysical NULL
104 Hypo blank.swc hoc:HYPO biophysical NULL
105 INmplus blank.swc hoc:PUD biophysical NULL
106 INmminus blank.swc hoc:PUD biophysical NULL
107 PGN blank.swc hoc:PGN biophysical low
108 FB blank.swc hoc:PUD biophysical NULL
109 IMG blank.swc hoc:IMG biophysical NULL
110 MPG blank.swc hoc:MPG biophysical NULL
111 EUSmn blank.swc hoc:PUD biophysical NULL
112 Bladmn blank.swc hoc:PUD biophysical NULL
